Token	Lexeme	Line No
IDENTIFIER	import	1
IDENTIFIER	java	1
IDENTIFIER	io	1
SYMBOL	*	1
SYMBOL	;	1
IDENTIFIER	import	2
IDENTIFIER	java	2
IDENTIFIER	util	2
SYMBOL	*	2
SYMBOL	;	2
IDENTIFIER	import	3
IDENTIFIER	java	3
IDENTIFIER	util	3
IDENTIFIER	regex	3
SYMBOL	*	3
SYMBOL	;	3
IDENTIFIER	public	5
IDENTIFIER	class	5
IDENTIFIER	Lexer	5
SYMBOL	{	5
IDENTIFIER	private	6
IDENTIFIER	static	6
IDENTIFIER	final	6
IDENTIFIER	Set	6
SYMBOL	<	6
IDENTIFIER	String	6
SYMBOL	>	6
IDENTIFIER	keywords	6
SYMBOL	=	6
IDENTIFIER	new	6
IDENTIFIER	HashSet	6
SYMBOL	<	6
SYMBOL	>	6
SYMBOL	(	6
IDENTIFIER	Arrays	6
IDENTIFIER	asList	6
SYMBOL	(	6
STRING	"if"	6
SYMBOL	,	6
STRING	"else"	6
SYMBOL	,	6
STRING	"while"	6
SYMBOL	,	6
STRING	"for"	6
SYMBOL	,	6
STRING	"int"	7
SYMBOL	,	7
STRING	"float"	7
SYMBOL	,	7
STRING	"char"	7
SYMBOL	,	7
STRING	"return"	7
SYMBOL	)	7
SYMBOL	)	7
SYMBOL	;	7
IDENTIFIER	private	8
IDENTIFIER	static	8
IDENTIFIER	final	8
IDENTIFIER	String	8
IDENTIFIER	identifierRegex	8
SYMBOL	=	8
STRING	"[a-zA-Z_]\\w*"	8
SYMBOL	;	8
IDENTIFIER	private	9
IDENTIFIER	static	9
IDENTIFIER	final	9
IDENTIFIER	String	9
IDENTIFIER	integerRegex	9
SYMBOL	=	9
STRING	"\\d+"	9
SYMBOL	;	9
IDENTIFIER	private	10
IDENTIFIER	static	10
IDENTIFIER	final	10
IDENTIFIER	String	10
IDENTIFIER	stringRegex	10
SYMBOL	=	10
STRING	"\"(?:[^\"\\\\]|\\\\.)*\""	10
SYMBOL	;	10
IDENTIFIER	private	11
IDENTIFIER	static	11
IDENTIFIER	final	11
IDENTIFIER	String	11
IDENTIFIER	charRegex	11
SYMBOL	=	11
STRING	"'(?:[^'\\\\]|\\\\.)'"	11
SYMBOL	;	11
IDENTIFIER	private	12
IDENTIFIER	static	12
IDENTIFIER	final	12
IDENTIFIER	String	12
IDENTIFIER	commentRegex	12
SYMBOL	=	12
STRING	"/\\*.*?\\*/"	12
SYMBOL	;	12
IDENTIFIER	private	13
IDENTIFIER	static	13
IDENTIFIER	final	13
IDENTIFIER	String	13
IDENTIFIER	symbolRegex	13
SYMBOL	=	13
STRING	"[\\[\\]{}(),;=+\\-*/<>!]"	13
SYMBOL	;	13
IDENTIFIER	private	15
IDENTIFIER	static	15
IDENTIFIER	final	15
IDENTIFIER	String	15
IDENTIFIER	combinedRegex	15
SYMBOL	=	15
IDENTIFIER	String	16
IDENTIFIER	join	16
SYMBOL	(	16
STRING	"|"	16
SYMBOL	,	16
IDENTIFIER	commentRegex	16
SYMBOL	,	16
IDENTIFIER	stringRegex	16
SYMBOL	,	16
IDENTIFIER	charRegex	16
SYMBOL	,	16
IDENTIFIER	identifierRegex	16
SYMBOL	,	16
IDENTIFIER	integerRegex	16
SYMBOL	,	16
IDENTIFIER	symbolRegex	16
SYMBOL	)	16
SYMBOL	;	16
IDENTIFIER	private	18
IDENTIFIER	static	18
IDENTIFIER	List	18
SYMBOL	<	18
IDENTIFIER	Token	18
SYMBOL	>	18
IDENTIFIER	analyzeCode	18
SYMBOL	(	18
IDENTIFIER	String	18
IDENTIFIER	fileName	18
SYMBOL	)	18
IDENTIFIER	throws	18
IDENTIFIER	IOException	18
SYMBOL	{	18
IDENTIFIER	List	19
SYMBOL	<	19
IDENTIFIER	Token	19
SYMBOL	>	19
IDENTIFIER	tokens	19
SYMBOL	=	19
IDENTIFIER	new	19
IDENTIFIER	ArrayList	19
SYMBOL	<	19
SYMBOL	>	19
SYMBOL	(	19
SYMBOL	)	19
SYMBOL	;	19
IDENTIFIER	try	20
SYMBOL	(	20
IDENTIFIER	BufferedReader	20
IDENTIFIER	reader	20
SYMBOL	=	20
IDENTIFIER	new	20
IDENTIFIER	BufferedReader	20
SYMBOL	(	20
IDENTIFIER	new	20
IDENTIFIER	FileReader	20
SYMBOL	(	20
IDENTIFIER	fileName	20
SYMBOL	)	20
SYMBOL	)	20
SYMBOL	)	20
SYMBOL	{	20
IDENTIFIER	String	21
IDENTIFIER	line	21
SYMBOL	;	21
KEYWORD	int	22
IDENTIFIER	lineNumber	22
SYMBOL	=	22
INTEGER	0	22
SYMBOL	;	22
KEYWORD	while	23
SYMBOL	(	23
SYMBOL	(	23
IDENTIFIER	line	23
SYMBOL	=	23
IDENTIFIER	reader	23
IDENTIFIER	readLine	23
SYMBOL	(	23
SYMBOL	)	23
SYMBOL	)	23
SYMBOL	!	23
SYMBOL	=	23
IDENTIFIER	null	23
SYMBOL	)	23
SYMBOL	{	23
IDENTIFIER	lineNumber	24
SYMBOL	+	24
SYMBOL	+	24
SYMBOL	;	24
SYMBOL	/	25
SYMBOL	/	25
IDENTIFIER	Tokenize	25
IDENTIFIER	line	25
IDENTIFIER	tokens	26
IDENTIFIER	addAll	26
SYMBOL	(	26
IDENTIFIER	tokenizeLine	26
SYMBOL	(	26
IDENTIFIER	line	26
SYMBOL	,	26
IDENTIFIER	lineNumber	26
SYMBOL	)	26
SYMBOL	)	26
SYMBOL	;	26
SYMBOL	}	27
SYMBOL	}	28
KEYWORD	return	29
IDENTIFIER	tokens	29
SYMBOL	;	29
SYMBOL	}	30
IDENTIFIER	private	32
IDENTIFIER	static	32
IDENTIFIER	List	32
SYMBOL	<	32
IDENTIFIER	Token	32
SYMBOL	>	32
IDENTIFIER	tokenizeLine	32
SYMBOL	(	32
